Application,Tool,Partition Count,Variant,Granularity,Database Entropy,Use Case Entropy,M2M Use Case Entropy,Sarah BCP
jpetstore,mem,3,3600_10-6_LC,method_level,66.92911754295561,54.14188057193732,0.0,32.27543412978614
jpetstore,mem,3,3600_10-6_LC,class_level,65.34264097200273,33.24423280453285,0.0,32.27543412978614
jpetstore,mem,3,3600_10-6_LC_SS,method_level,33.27876382498921,62.17570741815699,0.0,20.133285153429448
jpetstore,mem,3,3600_10-6_LC_SS,class_level,30.853077890261204,36.817384879745994,0.0,20.133285153429448
jpetstore,mem,3,3600_10-6_LC_TS,method_level,28.029048597543227,18.402158297598938,26.137056388801096,39.77121283750221
jpetstore,mem,3,3600_10-6_LC_TS,class_level,27.557106828667123,10.228427314668487,26.137056388801096,39.77121283750221
jpetstore,mem,3,3600_10-6_LC_TS_SS,method_level,33.27876382498921,33.12955230597954,7.671320486001365,26.621242654894097
jpetstore,mem,3,3600_10-6_LC_TS_SS,class_level,30.853077890261204,13.395308313955379,7.671320486001365,26.621242654894097
jpetstore,mem,3,3600_10-6_SS,method_level,70.68107011742579,36.47410910289556,26.137056388801096,40.96938279503248
jpetstore,mem,3,3600_10-6_SS,class_level,55.868026116630595,14.588828512706387,26.137056388801096,40.96938279503248
jpetstore,mem,3,3600_10-6_TS,method_level,40.29371533156877,7.1837425250057425,32.00930763866939,42.53627348745592
jpetstore,mem,3,3600_10-6_TS,class_level,39.67330121884003,4.414559050617973,32.00930763866939,42.53627348745592
jpetstore,mem,3,3600_10-6_TS_SS,method_level,52.64890644063149,17.356222059391115,12.274112777602186,28.8250364212997
jpetstore,mem,3,3600_10-6_TS_SS,class_level,52.176964671755385,1.6576486922255107,12.274112777602186,28.8250364212997
jpetstore,mem,3,3600_100-6_LC,method_level,100.0,45.796971833227026,10.228427314668487,20.727255345633257
jpetstore,mem,3,3600_100-6_LC,class_level,100.0,32.37045014911894,10.228427314668487,20.727255345633257
jpetstore,mem,3,3600_100-6_LC_SS,method_level,100.0,100.0,0.0,21.07849589710615
jpetstore,mem,3,3600_100-6_LC_SS,class_level,100.0,100.0,0.0,21.07849589710615
jpetstore,mem,3,3600_100-6_LC_TS,method_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_LC_TS,class_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_LC_TS_SS,method_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_LC_TS_SS,class_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_SS,method_level,72.61729424937717,58.58106803792638,0.0,22.419469217535294
jpetstore,mem,3,3600_100-6_SS,class_level,72.3361764735596,40.943877362243285,0.0,22.419469217535294
jpetstore,mem,3,3600_100-6_TS,method_level,88.78313888317906,100.0,0.0,14.756686424031129
jpetstore,mem,3,3600_100-6_TS,class_level,89.39143052841979,100.0,0.0,14.756686424031129
jpetstore,mem,3,3600_100-6_TS_SS,method_level,81.45987294511184,51.50366967152819,0.0,24.00520322110582
jpetstore,mem,3,3600_100-6_TS_SS,class_level,82.12905636247812,39.49126723179447,0.0,24.00520322110582
demo,mem,4,3600_100000_LC,method_level,100.0,100.0,0.0,0.0
demo,mem,4,3600_100000_LC,class_level,100.0,100.0,0.0,0.0
demo,mem,4,3600_100000_LC_SS,method_level,100.0,87.37580979943765,43.56176064800182,43.56176064800182
demo,mem,4,3600_100000_LC_SS,class_level,100.0,85.74967499534792,43.56176064800182,43.56176064800182
demo,mem,4,3600_100000_LC_TS,method_level,100.0,76.37045105407972,50.0,50.0
demo,mem,4,3600_100000_LC_TS,class_level,100.0,78.77072180812577,50.0,50.0
demo,mem,4,3600_100000_LC_TS_SS,method_level,100.0,87.37580979943765,43.56176064800182,43.56176064800182
demo,mem,4,3600_100000_LC_TS_SS,class_level,100.0,85.74967499534792,43.56176064800182,43.56176064800182
demo,mem,4,3600_100000_SS,method_level,100.0,100.0,50.0,50.0
demo,mem,4,3600_100000_SS,class_level,100.0,100.0,50.0,50.0
demo,mem,4,3600_100000_TS,method_level,32.0881620313347,71.30231609508448,32.67132048600136,37.4899394115453
demo,mem,4,3600_100000_TS,class_level,48.51182899829163,74.38175761113206,32.67132048600136,37.4899394115453
demo,mem,4,3600_100000_TS_SS,method_level,100.0,87.37580979943765,43.56176064800182,43.56176064800182
demo,mem,4,3600_100000_TS_SS,class_level,100.0,85.74967499534792,43.56176064800182,43.56176064800182
partsunlimited,mem,5,3600_1000_LC,method_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_LC,class_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_LC_SS,method_level,100.0,86.60657626574164,0.0,0.0
partsunlimited,mem,5,3600_1000_LC_SS,class_level,100.0,65.7306959049459,0.0,0.0
partsunlimited,mem,5,3600_1000_LC_TS,method_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_LC_TS,class_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_LC_TS_SS,method_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_LC_TS_SS,class_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_SS,method_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_SS,class_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_TS,method_level,100.0,95.95453996405128,50.0,50.0
partsunlimited,mem,5,3600_1000_TS,class_level,100.0,100.0,50.0,50.0
partsunlimited,mem,5,3600_1000_TS_SS,method_level,100.0,100.0,0.0,0.0
partsunlimited,mem,5,3600_1000_TS_SS,class_level,100.0,100.0,0.0,0.0
demo,mem,4,3600_100_LC,method_level,100.0,100.0,0.0,0.0
demo,mem,4,3600_100_LC,class_level,100.0,100.0,0.0,0.0
spring-petclinic,mem,3,3600_100_LC,method_level,81.52846672748933,95.92440926264085,43.56176064800182,45.44952772350624
spring-petclinic,mem,3,3600_100_LC,class_level,76.5127026719366,89.74709204278977,43.56176064800182,45.44952772350624
demo,mem,4,3600_100_LC_SS,method_level,52.08073258664123,35.07567510547762,43.56176064800182,55.92508294645449
demo,mem,4,3600_100_LC_SS,class_level,17.58214840719998,22.823115570972064,43.56176064800182,55.92508294645449
spring-petclinic,mem,3,3600_100_LC_SS,method_level,81.76565118528484,34.618646046970824,50.0,50.0
spring-petclinic,mem,3,3600_100_LC_SS,class_level,77.37813701663066,24.67143426801126,50.0,50.0
demo,mem,4,3600_100_LC_TS,method_level,46.458937304797686,23.222109047344176,53.83566024300068,56.244969705772654
demo,mem,4,3600_100_LC_TS,class_level,12.489939411545304,19.839301038444447,53.83566024300068,56.244969705772654
spring-petclinic,mem,3,3600_100_LC_TS,method_level,81.52846672748933,95.92440926264085,33.333333333333336,33.333333333333336
spring-petclinic,mem,3,3600_100_LC_TS,class_level,76.5127026719366,89.74709204278977,33.333333333333336,33.333333333333336
demo,mem,4,3600_100_LC_TS_SS,method_level,52.08073258664123,32.176251157089176,43.56176064800182,55.92508294645449
demo,mem,4,3600_100_LC_TS_SS,class_level,17.58214840719998,19.130406077998252,43.56176064800182,55.92508294645449
spring-petclinic,mem,3,3600_100_LC_TS_SS,method_level,81.52846672748933,95.92440926264085,33.333333333333336,33.333333333333336
spring-petclinic,mem,3,3600_100_LC_TS_SS,class_level,76.5127026719366,89.74709204278977,33.333333333333336,33.333333333333336
demo,mem,4,3600_100_SS,method_level,84.60364977861975,88.73596977834238,33.333333333333336,33.333333333333336
demo,mem,4,3600_100_SS,class_level,57.56486946571393,84.08714579262968,33.333333333333336,33.333333333333336
spring-petclinic,mem,3,3600_100_SS,method_level,74.85790298780009,11.47964981040972,0.0,0.0
spring-petclinic,mem,3,3600_100_SS,class_level,77.80250417550488,9.282211046955236,0.0,0.0
demo,mem,4,3600_100_TS,method_level,7.927297382488208,31.94916052494017,12.274112777602186,20.671966390015385
demo,mem,4,3600_100_TS,class_level,17.490274076247825,19.76129969030387,12.274112777602186,20.671966390015385
spring-petclinic,mem,3,3600_100_TS,method_level,81.52846672748933,95.92440926264085,33.333333333333336,33.333333333333336
spring-petclinic,mem,3,3600_100_TS,class_level,76.5127026719366,89.74709204278977,33.333333333333336,33.333333333333336
demo,mem,4,3600_100_TS_SS,method_level,100.0,68.3343135431815,15.34264097200273,31.546860921070152
demo,mem,4,3600_100_TS_SS,class_level,100.0,56.720796455755675,15.34264097200273,31.546860921070152
spring-petclinic,mem,3,3600_100_TS_SS,method_level,100.0,100.0,0.0,0.0
spring-petclinic,mem,3,3600_100_TS_SS,class_level,100.0,100.0,0.0,0.0
demo,mem,4,3600_10_LC,method_level,38.76498518647836,47.8042094678214,55.11421365733425,56.058097195086454
demo,mem,4,3600_10_LC,class_level,15.34264097200273,32.67132048600136,55.11421365733425,56.058097195086454
partsunlimited,mem,5,3600_10_LC,method_level,100.0,69.44398321083281,0.0,1.6576486922255107
partsunlimited,mem,5,3600_10_LC,class_level,100.0,59.54382941170593,0.0,1.6576486922255107
spring-petclinic,mem,3,3600_10_LC,method_level,51.786158192757,0.0,33.333333333333336,35.96907901100993
spring-petclinic,mem,3,3600_10_LC,class_level,48.53300449365167,1.243236519169133,33.333333333333336,35.96907901100993
demo,mem,4,3600_10_LC_SS,method_level,29.372335997047006,21.140019711559454,51.89509398133516,57.414897097144866
demo,mem,4,3600_10_LC_SS,class_level,0.0,9.08714579262968,51.89509398133516,57.414897097144866
partsunlimited,mem,5,3600_10_LC_SS,method_level,66.80921836188666,4.7848948151139385,27.797735683693148,30.20736949384839
partsunlimited,mem,5,3600_10_LC_SS,class_level,54.89035349642493,0.0,27.797735683693148,30.20736949384839
spring-petclinic,mem,3,3600_10_LC_SS,method_level,64.51414389621894,17.14715996574403,50.0,50.0
spring-petclinic,mem,3,3600_10_LC_SS,class_level,57.078859709793406,17.592653168706306,50.0,50.0
demo,mem,4,3600_10_LC_TS,method_level,2.8606462105832065,0.0,43.06852819440054,50.07847453476272
demo,mem,4,3600_10_LC_TS,class_level,0.0,0.0,43.06852819440054,50.07847453476272
partsunlimited,mem,5,3600_10_LC_TS,method_level,10.789669081421282,0.0,16.666666666666664,16.666666666666664
partsunlimited,mem,5,3600_10_LC_TS,class_level,8.753297107623826,0.0,16.666666666666664,16.666666666666664
spring-petclinic,mem,3,3600_10_LC_TS,method_level,78.61058380555482,29.6552007790585,40.0,40.0
spring-petclinic,mem,3,3600_10_LC_TS,class_level,73.78052169702237,26.78765019529974,40.0,40.0
demo,mem,4,3600_10_LC_TS_SS,method_level,29.372335997047006,17.57784373969806,51.89509398133516,57.414897097144866
demo,mem,4,3600_10_LC_TS_SS,class_level,0.0,7.671320486001365,51.89509398133516,57.414897097144866
partsunlimited,mem,5,3600_10_LC_TS_SS,method_level,66.80921836188666,3.68739828750716,16.137056388801096,20.959354814339036
partsunlimited,mem,5,3600_10_LC_TS_SS,class_level,54.89035349642493,0.0,16.137056388801096,20.959354814339036
spring-petclinic,mem,3,3600_10_LC_TS_SS,method_level,81.52846672748933,34.46716554113591,25.0,25.0
spring-petclinic,mem,3,3600_10_LC_TS_SS,class_level,76.5127026719366,26.284262356532516,25.0,25.0
demo,mem,4,3600_10_SS,method_level,44.222214384189186,29.591132326747005,70.0,72.06644087181196
demo,mem,4,3600_10_SS,class_level,0.0,10.941621384529787,70.0,72.06644087181196
partsunlimited,mem,5,3600_10_SS,method_level,65.90178516412911,11.155410843475622,26.137056388801096,26.47082915472101
partsunlimited,mem,5,3600_10_SS,class_level,54.89035349642493,0.0,26.137056388801096,26.47082915472101
spring-petclinic,mem,3,3600_10_SS,method_level,68.69615089691948,8.174708324768588,33.333333333333336,33.333333333333336
spring-petclinic,mem,3,3600_10_SS,class_level,69.47262011667141,9.08714579262968,33.333333333333336,33.333333333333336
demo,mem,4,3600_10_TS,method_level,10.246860078900788,0.0,50.26356997846364,53.70348578803784
demo,mem,4,3600_10_TS,class_level,0.0,0.0,50.26356997846364,53.70348578803784
partsunlimited,mem,5,3600_10_TS,method_level,10.966115390924768,0.0,11.111111111111116,11.39650274589612
partsunlimited,mem,5,3600_10_TS,class_level,8.753297107623826,0.0,11.111111111111116,11.39650274589612
spring-petclinic,mem,3,3600_10_TS,method_level,63.306822086184766,25.0,0.0,0.0
spring-petclinic,mem,3,3600_10_TS,class_level,62.260333052876504,28.729709557507398,0.0,0.0
demo,mem,4,3600_10_TS_SS,method_level,43.00947769226413,30.725111064217604,66.42593472218232,67.9859984511698
demo,mem,4,3600_10_TS_SS,class_level,0.0,8.914557005170497,66.42593472218232,67.9859984511698
partsunlimited,mem,5,3600_10_TS_SS,method_level,59.35772100349481,5.844282268635426,26.137056388801096,30.800219845168186
partsunlimited,mem,5,3600_10_TS_SS,class_level,47.269716634103744,0.0,26.137056388801096,30.800219845168186
spring-petclinic,mem,3,3600_10_TS_SS,method_level,56.45917715317324,29.208328896279866,26.137056388801096,29.99195152923624
spring-petclinic,mem,3,3600_10_TS_SS,class_level,60.63021787547226,24.42978676463241,26.137056388801096,29.99195152923624
demo,mono2micro,4,business,method_level,85.94162138452978,65.7266601732747,80.0,82.98615888662395
demo,mono2micro,4,business,class_level,84.08714579262968,60.37052362689393,80.0,82.98615888662395
jpetstore,mono2micro,3,business,method_level,61.92532294828137,33.619392884985736,10.228427314668487,33.62179319806336
jpetstore,mono2micro,3,business,class_level,57.009307638669405,16.53075344079088,10.228427314668487,33.62179319806336
partsunlimited,mono2micro,5,business,method_level,33.89542014258371,24.776108650607686,40.0,40.66491014274962
partsunlimited,mono2micro,5,business,class_level,32.950602434610765,19.451246082654873,40.0,40.66491014274962
spring-petclinic,mono2micro,3,business,method_level,66.57925706219007,34.74387711053375,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,3,business,class_level,64.93811945582321,28.547439616787585,33.333333333333336,33.333333333333336
demo,tomicroservices,4,cohesion,method_level,68.82310029355729,56.383795967334414,46.13705638880109,60.24272089013583
jpetstore,tomicroservices,3,cohesion,method_level,91.59678410938612,83.93797501584197,23.013961458004097,42.20387654703943
partsunlimited,tomicroservices,5,cohesion,method_level,39.53782399710053,72.99277520981258,38.41116916640328,46.53170823032191
spring-petclinic,tomicroservices,3,cohesion,method_level,59.355991261864474,43.964749101869614,33.333333333333336,33.333333333333336
demo,tomicroservices,4,coupling,method_level,30.86590082910854,71.97493968949527,66.1370563888011,70.98877582267392
jpetstore,tomicroservices,3,coupling,method_level,59.737262459570715,95.0904559338328,57.67132048600136,61.189404571933494
partsunlimited,tomicroservices,5,coupling,method_level,4.319437719581353,83.20831847711649,80.0,80.0
spring-petclinic,tomicroservices,3,coupling,method_level,72.98876928927778,55.458421962798354,33.333333333333336,33.333333333333336
demo,cargo,4,default,method_level,82.69980088339605,60.09959372952869,26.137056388801096,29.862653575968924
jpetstore,cargo,3,default,method_level,83.40646177489384,52.00168693350975,32.67132048600136,43.994142779385925
partsunlimited,cargo,5,default,method_level,58.77365452885732,26.54902262457458,5.114213657334243,6.058097195086454
spring-petclinic,cargo,3,default,method_level,100.0,100.0,0.0,0.0
demo,datacentric,n,default,method_level,35.20044759411307,58.328175231420666,66.1370563888011,77.21878403090517
demo,datacentric,n,default,class_level,43.906682037456726,51.389236578592815,66.1370563888011,77.21878403090517
jpetstore,datacentric,n,default,method_level,90.46909675478125,53.83210122166402,33.333333333333336,49.80820457505749
jpetstore,datacentric,n,default,class_level,79.719744537125,30.430820761296083,33.333333333333336,49.80820457505749
partsunlimited,datacentric,n,default,method_level,85.11469291531881,20.397704354528113,0.0,1.5165084848775767
partsunlimited,datacentric,n,default,class_level,75.29306376743871,8.034608228294859,0.0,1.5165084848775767
spring-petclinic,datacentric,n,default,method_level,84.68424973287647,39.46715980251893,10.228427314668487,12.971189931503558
spring-petclinic,datacentric,n,default,class_level,77.0904868230494,30.86760347906008,10.228427314668487,12.971189931503558
demo,ground_truth,n,default,method_level,37.540546445462866,77.92196796146094,7.671320486001365,53.28903408883785
demo,ground_truth,n,default,class_level,57.56486946571393,93.87674933013412,7.671320486001365,53.28903408883785
jpetstore,ground_truth,n,default,method_level,96.24532325944746,59.79359831222559,43.56176064800182,50.45627508749595
jpetstore,ground_truth,n,default,class_level,85.02402927291509,45.44952772350624,43.56176064800182,50.45627508749595
partsunlimited,ground_truth,n,default,method_level,81.75580996063535,24.157621175762145,21.780880324000908,29.70692507510755
partsunlimited,ground_truth,n,default,class_level,57.50659421524767,12.683675811981132,21.780880324000908,29.70692507510755
spring-petclinic,ground_truth,n,default,method_level,73.01936141696484,65.28497767833416,32.67132048600136,48.90689976371235
spring-petclinic,ground_truth,n,default,class_level,70.65389812495933,65.37109829674742,32.67132048600136,48.90689976371235
demo,hydec,n,default,method_level,0.0,38.219583271533565,55.11421365733425,68.75819649114565
demo,hydec,n,default,class_level,8.403128283618145,37.15783117276407,55.11421365733425,68.75819649114565
jpetstore,hydec,n,default,method_level,63.29177730017166,19.243030406466964,46.97123641955798,51.46291536168359
jpetstore,hydec,n,default,class_level,59.087145792629684,10.228427314668487,46.97123641955798,51.46291536168359
partsunlimited,hydec,n,default,method_level,86.19628647962392,73.13830971550023,0.0,10.823476726117953
partsunlimited,hydec,n,default,class_level,87.26971663410374,37.037911970442636,0.0,10.823476726117953
spring-petclinic,hydec,n,default,method_level,51.07990611102365,42.758305883621205,32.67132048600136,36.33524995655267
spring-petclinic,hydec,n,default,class_level,47.240754563429356,40.414857434529985,32.67132048600136,36.33524995655267
jpetstore,log2ms,n,default,method_level,96.24532325944746,56.759029626804306,43.56176064800182,48.871106165897
jpetstore,log2ms,n,default,class_level,85.02402927291509,43.56176064800182,43.56176064800182,48.871106165897
spring-petclinic,log2ms,n,default,method_level,66.27043782406655,3.7828610568395704,6.137056388801088,9.768226711527372
spring-petclinic,log2ms,n,default,class_level,57.14285714285714,3.3109192879634763,6.137056388801088,9.768226711527372
demo,mosaic,n,default,method_level,43.720535423015924,100.0,80.0,80.0
jpetstore,mosaic,n,default,method_level,96.24532325944746,58.754073388677355,32.67132048600136,40.19212096077622
partsunlimited,mosaic,n,default,method_level,78.05766197727984,49.07005344780069,21.780880324000908,29.30664511388542
spring-petclinic,mosaic,n,default,method_level,100.0,100.0,43.56176064800182,59.79359831222559
demo,tomicroservices,4,functionality,method_level,44.39075563828768,68.39306548761722,66.1370563888011,72.46459677487127
jpetstore,tomicroservices,3,functionality,method_level,59.737262459570715,95.0904559338328,57.67132048600136,61.189404571933494
partsunlimited,tomicroservices,5,functionality,method_level,2.750262778935275,79.22870160634575,80.0,80.0
spring-petclinic,tomicroservices,3,functionality,method_level,68.08180915532402,55.51611038488947,33.333333333333336,33.502545580940826
demo,mono2micro,4,natural,method_level,85.94162138452978,65.7266601732747,80.0,82.98615888662395
demo,mono2micro,4,natural,class_level,84.08714579262968,60.37052362689393,80.0,82.98615888662395
jpetstore,mono2micro,3,natural,method_level,100.0,100.0,0.0,14.756686424031129
jpetstore,mono2micro,3,natural,class_level,100.0,100.0,0.0,14.756686424031129
partsunlimited,mono2micro,5,natural,method_level,33.89542014258371,29.548033718612775,25.0,27.26936635132098
partsunlimited,mono2micro,5,natural,class_level,32.950602434610765,20.921114016864216,25.0,27.26936635132098
spring-petclinic,mono2micro,3,natural,method_level,66.57925706219007,34.74387711053375,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,3,natural,class_level,64.93811945582321,28.547439616787585,33.333333333333336,33.333333333333336
demo,tomicroservices,4,overhead,method_level,30.609946057588257,71.41335628019677,52.27411277760219,58.60165316367236
jpetstore,tomicroservices,3,overhead,method_level,79.87794160956246,93.29354707010438,57.67132048600136,61.07755188016569
partsunlimited,tomicroservices,5,overhead,method_level,12.293377865508326,81.91685312012275,46.13705638880109,48.75329710762383
spring-petclinic,tomicroservices,3,overhead,method_level,68.50925919570165,49.169835315389754,10.228427314668487,23.973904516533917
