Application,Tool,Partition Count,Decomposition Type,Granularity,Mojo-D,Mojo,C2C 50,C2C 33,C2C 10
jpetstore,mem,3_partitions,3600_10-6_LC,class,X,47.62,25.0,50.0,100.0
jpetstore,mem,3_partitions,3600_10-6_LC,method,X,70.72,75.0,75.0,100.0
jpetstore,mem,3_partitions,3600_10-6_LC_SS,class,X,33.33,33.33333333333333,33.33333333333333,100.0
jpetstore,mem,3_partitions,3600_10-6_LC_SS,method,X,51.97,33.33333333333333,66.66666666666666,66.66666666666666
jpetstore,mem,3_partitions,3600_10-6_LC_TS,class,X,33.33,0.0,28.57142857142857,85.71428571428571
jpetstore,mem,3_partitions,3600_10-6_LC_TS,method,X,62.5,28.57142857142857,28.57142857142857,85.71428571428571
jpetstore,mem,3_partitions,3600_10-6_LC_TS_SS,class,X,28.57,25.0,25.0,75.0
jpetstore,mem,3_partitions,3600_10-6_LC_TS_SS,method,X,55.26,25.0,50.0,75.0
jpetstore,mem,3_partitions,3600_10-6_SS,class,X,57.14,33.33333333333333,50.0,83.33333333333334
jpetstore,mem,3_partitions,3600_10-6_SS,method,X,65.46,0.0,50.0,83.33333333333334
jpetstore,mem,3_partitions,3600_10-6_TS,class,X,33.33,16.666666666666664,33.33333333333333,83.33333333333334
jpetstore,mem,3_partitions,3600_10-6_TS,method,X,70.72,33.33333333333333,66.66666666666666,100.0
jpetstore,mem,3_partitions,3600_10-6_TS_SS,class,X,42.86,40.0,40.0,60.0
jpetstore,mem,3_partitions,3600_10-6_TS_SS,method,X,65.13,20.0,60.0,80.0
jpetstore,mem,3_partitions,3600_100-6_LC,class,X,38.1,0.0,25.0,75.0
jpetstore,mem,3_partitions,3600_100-6_LC,method,X,54.93,0.0,25.0,75.0
jpetstore,mem,3_partitions,3600_100-6_LC_SS,class,X,42.86,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_SS,method,X,53.62,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS,class,X,38.1,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS,method,X,45.07,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS_SS,class,X,38.1,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS_SS,method,X,45.07,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_SS,class,X,42.86,25.0,50.0,75.0
jpetstore,mem,3_partitions,3600_100-6_SS,method,X,53.95,25.0,75.0,75.0
jpetstore,mem,3_partitions,3600_100-6_TS,class,X,33.33,0.0,33.33333333333333,33.33333333333333
jpetstore,mem,3_partitions,3600_100-6_TS,method,X,42.11,0.0,33.33333333333333,33.33333333333333
jpetstore,mem,3_partitions,3600_100-6_TS_SS,class,X,38.1,0.0,66.66666666666666,100.0
jpetstore,mem,3_partitions,3600_100-6_TS_SS,method,X,64.47,66.66666666666666,100.0,100.0
demo,mem,4_partitions,3600_100000_LC,class,X,30.23,100.0,100.0,100.0
demo,mem,4_partitions,3600_100000_LC,method,X,35.53,100.0,100.0,100.0
demo,mem,4_partitions,3600_100000_LC_SS,class,X,25.58,0.0,33.33333333333333,66.66666666666666
demo,mem,4_partitions,3600_100000_LC_SS,method,X,47.37,33.33333333333333,66.66666666666666,100.0
demo,mem,4_partitions,3600_100000_LC_TS,class,X,34.88,0.0,50.0,75.0
demo,mem,4_partitions,3600_100000_LC_TS,method,X,42.76,25.0,50.0,75.0
demo,mem,4_partitions,3600_100000_LC_TS_SS,class,X,27.91,0.0,20.0,40.0
demo,mem,4_partitions,3600_100000_LC_TS_SS,method,X,48.36,0.0,40.0,80.0
demo,mem,4_partitions,3600_100000_SS,class,X,27.91,0.0,33.33333333333333,66.66666666666666
demo,mem,4_partitions,3600_100000_SS,method,X,44.41,33.33333333333333,66.66666666666666,66.66666666666666
demo,mem,4_partitions,3600_100000_TS,class,X,34.88,0.0,40.0,60.0
demo,mem,4_partitions,3600_100000_TS,method,X,44.08,20.0,40.0,60.0
demo,mem,4_partitions,3600_100000_TS_SS,class,X,27.91,0.0,20.0,40.0
demo,mem,4_partitions,3600_100000_TS_SS,method,X,48.36,0.0,40.0,80.0
partsunlimited,mem,5_partitions,3600_1000_LC,class,X,27.08,0.0,50.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC,method,X,33.25,50.0,50.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC_SS,class,X,20.83,0.0,0.0,75.0
partsunlimited,mem,5_partitions,3600_1000_LC_SS,method,X,26.35,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS,class,X,22.92,0.0,0.0,66.66666666666666
partsunlimited,mem,5_partitions,3600_1000_LC_TS,method,X,25.62,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS_SS,class,X,25.0,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS_SS,method,X,25.62,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_SS,class,X,25.0,0.0,0.0,100.0
partsunlimited,mem,5_partitions,3600_1000_SS,method,X,35.96,33.33333333333333,33.33333333333333,100.0
partsunlimited,mem,5_partitions,3600_1000_TS,class,X,25.0,0.0,0.0,66.66666666666666
partsunlimited,mem,5_partitions,3600_1000_TS,method,X,25.37,0.0,0.0,33.33333333333333
partsunlimited,mem,5_partitions,3600_1000_TS_SS,class,X,25.0,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_TS_SS,method,X,25.62,0.0,0.0,50.0
demo,mem,4_partitions,3600_100_LC,class,X,30.23,100.0,100.0,100.0
demo,mem,4_partitions,3600_100_LC,method,X,35.53,50.0,100.0,100.0
spring-petclinic,mem,3_partitions,3600_100_LC,class,X,26.32,0.0,66.66666666666666,100.0
spring-petclinic,mem,3_partitions,3600_100_LC,method,X,51.85,33.33333333333333,66.66666666666666,100.0
demo,mem,4_partitions,3600_100_LC_SS,class,X,53.49,20.0,20.0,60.0
demo,mem,4_partitions,3600_100_LC_SS,method,X,65.46,20.0,30.0,60.0
spring-petclinic,mem,3_partitions,3600_100_LC_SS,class,X,31.58,0.0,50.0,100.0
spring-petclinic,mem,3_partitions,3600_100_LC_SS,method,X,64.81,25.0,75.0,100.0
demo,mem,4_partitions,3600_100_LC_TS,class,X,37.21,0.0,22.22222222222222,33.33333333333333
demo,mem,4_partitions,3600_100_LC_TS,method,X,41.78,0.0,22.22222222222222,22.22222222222222
spring-petclinic,mem,3_partitions,3600_100_LC_TS,class,X,26.32,33.33333333333333,66.66666666666666,100.0
spring-petclinic,mem,3_partitions,3600_100_LC_TS,method,X,57.41,33.33333333333333,100.0,100.0
demo,mem,4_partitions,3600_100_LC_TS_SS,class,X,55.81,7.6923076923076925,15.384615384615385,61.53846153846154
demo,mem,4_partitions,3600_100_LC_TS_SS,method,X,67.11,7.6923076923076925,23.076923076923077,53.84615384615385
spring-petclinic,mem,3_partitions,3600_100_LC_TS_SS,class,X,26.32,33.33333333333333,66.66666666666666,100.0
spring-petclinic,mem,3_partitions,3600_100_LC_TS_SS,method,X,52.78,33.33333333333333,66.66666666666666,100.0
demo,mem,4_partitions,3600_100_SS,class,X,27.91,0.0,25.0,75.0
demo,mem,4_partitions,3600_100_SS,method,X,46.05,25.0,50.0,50.0
spring-petclinic,mem,3_partitions,3600_100_SS,class,X,31.58,0.0,75.0,100.0
spring-petclinic,mem,3_partitions,3600_100_SS,method,X,62.96,25.0,50.0,100.0
demo,mem,4_partitions,3600_100_TS,class,X,37.21,0.0,40.0,100.0
demo,mem,4_partitions,3600_100_TS,method,X,44.08,20.0,40.0,80.0
spring-petclinic,mem,3_partitions,3600_100_TS,class,X,26.32,33.33333333333333,66.66666666666666,100.0
spring-petclinic,mem,3_partitions,3600_100_TS,method,X,57.41,33.33333333333333,100.0,100.0
demo,mem,4_partitions,3600_100_TS_SS,class,X,48.84,28.57142857142857,28.57142857142857,71.42857142857143
demo,mem,4_partitions,3600_100_TS_SS,method,X,64.14,14.285714285714285,42.857142857142854,85.71428571428571
spring-petclinic,mem,3_partitions,3600_100_TS_SS,class,X,47.37,33.33333333333333,100.0,100.0
spring-petclinic,mem,3_partitions,3600_100_TS_SS,method,X,59.26,33.33333333333333,66.66666666666666,100.0
demo,mem,4_partitions,3600_10_LC,class,X,32.56,12.5,12.5,62.5
demo,mem,4_partitions,3600_10_LC,method,X,40.46,0.0,12.5,25.0
partsunlimited,mem,5_partitions,3600_10_LC,class,X,25.0,0.0,0.0,33.33333333333333
partsunlimited,mem,5_partitions,3600_10_LC,method,X,30.05,0.0,0.0,100.0
spring-petclinic,mem,3_partitions,3600_10_LC,class,X,31.58,0.0,33.33333333333333,100.0
spring-petclinic,mem,3_partitions,3600_10_LC,method,X,63.89,0.0,50.0,100.0
demo,mem,4_partitions,3600_10_LC_SS,class,X,51.16,6.25,6.25,56.25
demo,mem,4_partitions,3600_10_LC_SS,method,X,61.51,6.25,12.5,43.75
partsunlimited,mem,5_partitions,3600_10_LC_SS,class,X,45.83,0.0,20.0,73.33333333333333
partsunlimited,mem,5_partitions,3600_10_LC_SS,method,X,68.72,6.666666666666667,26.666666666666668,73.33333333333333
spring-petclinic,mem,3_partitions,3600_10_LC_SS,class,X,31.58,0.0,16.666666666666664,83.33333333333334
spring-petclinic,mem,3_partitions,3600_10_LC_SS,method,X,66.67,16.666666666666664,50.0,83.33333333333334
demo,mem,4_partitions,3600_10_LC_TS,class,X,23.26,6.666666666666667,6.666666666666667,26.666666666666668
demo,mem,4_partitions,3600_10_LC_TS,method,X,45.07,0.0,6.666666666666667,26.666666666666668
partsunlimited,mem,5_partitions,3600_10_LC_TS,class,X,18.75,0.0,0.0,66.66666666666666
partsunlimited,mem,5_partitions,3600_10_LC_TS,method,X,51.48,0.0,6.666666666666667,80.0
spring-petclinic,mem,3_partitions,3600_10_LC_TS,class,X,31.58,0.0,40.0,100.0
spring-petclinic,mem,3_partitions,3600_10_LC_TS,method,X,64.81,0.0,80.0,100.0
demo,mem,4_partitions,3600_10_LC_TS_SS,class,X,44.19,0.0,5.555555555555555,61.111111111111114
demo,mem,4_partitions,3600_10_LC_TS_SS,method,X,60.53,5.555555555555555,11.11111111111111,38.88888888888889
partsunlimited,mem,5_partitions,3600_10_LC_TS_SS,class,X,47.92,0.0,30.76923076923077,69.23076923076923
partsunlimited,mem,5_partitions,3600_10_LC_TS_SS,method,X,68.47,23.076923076923077,30.76923076923077,69.23076923076923
spring-petclinic,mem,3_partitions,3600_10_LC_TS_SS,class,X,47.37,20.0,80.0,100.0
spring-petclinic,mem,3_partitions,3600_10_LC_TS_SS,method,X,70.37,20.0,100.0,100.0
demo,mem,4_partitions,3600_10_SS,class,X,44.19,0.0,7.142857142857142,71.42857142857143
demo,mem,4_partitions,3600_10_SS,method,X,60.2,0.0,14.285714285714285,42.857142857142854
partsunlimited,mem,5_partitions,3600_10_SS,class,X,47.92,7.142857142857142,28.57142857142857,71.42857142857143
partsunlimited,mem,5_partitions,3600_10_SS,method,X,71.18,21.428571428571427,35.714285714285715,78.57142857142857
spring-petclinic,mem,3_partitions,3600_10_SS,class,X,42.11,16.666666666666664,33.33333333333333,100.0
spring-petclinic,mem,3_partitions,3600_10_SS,method,X,65.74,0.0,66.66666666666666,100.0
demo,mem,4_partitions,3600_10_TS,class,X,20.93,0.0,5.555555555555555,16.666666666666664
demo,mem,4_partitions,3600_10_TS,method,X,46.38,5.555555555555555,5.555555555555555,16.666666666666664
partsunlimited,mem,5_partitions,3600_10_TS,class,X,20.83,0.0,7.6923076923076925,61.53846153846154
partsunlimited,mem,5_partitions,3600_10_TS,method,X,48.77,0.0,15.384615384615385,61.53846153846154
spring-petclinic,mem,3_partitions,3600_10_TS,class,X,36.84,0.0,40.0,80.0
spring-petclinic,mem,3_partitions,3600_10_TS,method,X,66.67,20.0,40.0,100.0
demo,mem,4_partitions,3600_10_TS_SS,class,X,39.53,0.0,0.0,56.25
demo,mem,4_partitions,3600_10_TS_SS,method,X,59.87,0.0,12.5,43.75
partsunlimited,mem,5_partitions,3600_10_TS_SS,class,X,43.75,0.0,18.75,62.5
partsunlimited,mem,5_partitions,3600_10_TS_SS,method,X,66.26,18.75,18.75,68.75
spring-petclinic,mem,3_partitions,3600_10_TS_SS,class,X,42.11,16.666666666666664,50.0,83.33333333333334
spring-petclinic,mem,3_partitions,3600_10_TS_SS,method,X,65.74,0.0,50.0,100.0
demo,mono2micro,4_partitions,business,class,X,51.16,20.0,40.0,100.0
demo,mono2micro,4_partitions,business,method,X,57.89,20.0,40.0,100.0
jpetstore,mono2micro,3_partitions,business,class,X,57.14,50.0,75.0,100.0
jpetstore,mono2micro,3_partitions,business,method,X,74.67,75.0,75.0,100.0
partsunlimited,mono2micro,5_partitions,business,class,X,33.33,0.0,0.0,83.33333333333334
partsunlimited,mono2micro,5_partitions,business,method,X,46.06,0.0,66.66666666666666,83.33333333333334
spring-petclinic,mono2micro,3_partitions,business,class,X,36.84,25.0,75.0,100.0
spring-petclinic,mono2micro,3_partitions,business,method,X,56.48,25.0,75.0,100.0
demo,tomicroservices,4_partitions,cohesion,method,X,38.16,0.0,40.0,40.0
jpetstore,tomicroservices,3_partitions,cohesion,method,X,50.99,0.0,50.0,50.0
partsunlimited,tomicroservices,5_partitions,cohesion,method,X,31.03,0.0,16.666666666666664,33.33333333333333
spring-petclinic,tomicroservices,3_partitions,cohesion,method,X,55.56,25.0,50.0,100.0
demo,tomicroservices,4_partitions,coupling,method,X,35.86,0.0,40.0,40.0
jpetstore,tomicroservices,3_partitions,coupling,method,X,51.32,0.0,50.0,50.0
partsunlimited,tomicroservices,5_partitions,coupling,method,X,28.57,0.0,0.0,33.33333333333333
spring-petclinic,tomicroservices,3_partitions,coupling,method,X,56.48,25.0,50.0,100.0
demo,cargo,4_partitions,default,method,X,36.18,0.0,40.0,60.0
jpetstore,cargo,3_partitions,default,method,X,46.71,0.0,25.0,75.0
partsunlimited,cargo,5_partitions,default,method,X,36.7,0.0,16.666666666666664,83.33333333333334
spring-petclinic,cargo,3_partitions,default,method,X,51.85,100.0,100.0,100.0
demo,datacentric,n_partitions,default,class,X,62.79,40.0,60.0,60.0
demo,datacentric,n_partitions,default,method,X,65.13,20.0,60.0,80.0
jpetstore,datacentric,n_partitions,default,class,X,76.19,100.0,100.0,100.0
jpetstore,datacentric,n_partitions,default,method,X,85.53,100.0,100.0,100.0
partsunlimited,datacentric,n_partitions,default,class,X,50.0,40.0,80.0,80.0
partsunlimited,datacentric,n_partitions,default,method,X,58.37,80.0,80.0,80.0
spring-petclinic,datacentric,n_partitions,default,class,X,57.89,66.66666666666666,100.0,100.0
spring-petclinic,datacentric,n_partitions,default,method,X,73.15,66.66666666666666,100.0,100.0
demo,ground_truth,n_partitions,default,class,X,100.0,100.0,100.0,100.0
demo,ground_truth,n_partitions,default,method,X,84.21,100.0,100.0,100.0
jpetstore,ground_truth,n_partitions,default,class,X,100.0,100.0,100.0,100.0
jpetstore,ground_truth,n_partitions,default,method,X,100.0,100.0,100.0,100.0
partsunlimited,ground_truth,n_partitions,default,class,X,89.58,100.0,100.0,100.0
partsunlimited,ground_truth,n_partitions,default,method,X,99.75,100.0,100.0,100.0
spring-petclinic,ground_truth,n_partitions,default,class,X,84.21,100.0,100.0,100.0
spring-petclinic,ground_truth,n_partitions,default,method,X,99.07,100.0,100.0,100.0
demo,hydec,n_partitions,default,class,X,69.77,11.11111111111111,22.22222222222222,88.88888888888889
demo,hydec,n_partitions,default,method,X,77.3,11.11111111111111,44.44444444444444,66.66666666666666
jpetstore,hydec,n_partitions,default,class,X,57.14,11.11111111111111,33.33333333333333,100.0
jpetstore,hydec,n_partitions,default,method,X,88.49,22.22222222222222,55.55555555555556,77.77777777777779
partsunlimited,hydec,n_partitions,default,class,X,37.5,0.0,75.0,100.0
partsunlimited,hydec,n_partitions,default,method,X,38.42,25.0,25.0,100.0
spring-petclinic,hydec,n_partitions,default,class,X,36.84,25.0,75.0,100.0
spring-petclinic,hydec,n_partitions,default,method,X,50.93,25.0,75.0,100.0
jpetstore,log2ms,n_partitions,default,class,X,100.0,100.0,100.0,100.0
jpetstore,log2ms,n_partitions,default,method,X,99.34,100.0,100.0,100.0
spring-petclinic,log2ms,n_partitions,default,class,X,52.63,0.0,37.5,100.0
spring-petclinic,log2ms,n_partitions,default,method,X,76.85,12.5,50.0,100.0
demo,mosaic,n_partitions,default,method,X,64.47,0.0,80.0,80.0
jpetstore,mosaic,n_partitions,default,method,X,89.47,75.0,75.0,100.0
partsunlimited,mosaic,n_partitions,default,method,X,86.21,100.0,100.0,100.0
spring-petclinic,mosaic,n_partitions,default,method,X,69.44,100.0,100.0,100.0
demo,tomicroservices,4_partitions,functionality,method,X,36.18,0.0,40.0,40.0
jpetstore,tomicroservices,3_partitions,functionality,method,X,51.32,0.0,50.0,50.0
partsunlimited,tomicroservices,5_partitions,functionality,method,X,29.31,0.0,0.0,33.33333333333333
spring-petclinic,tomicroservices,3_partitions,functionality,method,X,56.48,25.0,50.0,100.0
demo,mono2micro,4_partitions,natural,class,X,51.16,20.0,40.0,100.0
demo,mono2micro,4_partitions,natural,method,X,57.89,20.0,40.0,100.0
jpetstore,mono2micro,3_partitions,natural,class,X,33.33,0.0,50.0,100.0
jpetstore,mono2micro,3_partitions,natural,method,X,42.11,0.0,50.0,100.0
partsunlimited,mono2micro,5_partitions,natural,class,X,25.0,0.0,25.0,100.0
partsunlimited,mono2micro,5_partitions,natural,method,X,35.22,0.0,75.0,100.0
spring-petclinic,mono2micro,3_partitions,natural,class,X,36.84,25.0,75.0,100.0
spring-petclinic,mono2micro,3_partitions,natural,method,X,56.48,25.0,75.0,100.0
demo,tomicroservices,4_partitions,overhead,method,X,35.2,0.0,40.0,40.0
jpetstore,tomicroservices,3_partitions,overhead,method,X,50.99,0.0,50.0,50.0
partsunlimited,tomicroservices,5_partitions,overhead,method,X,28.57,0.0,0.0,33.33333333333333
spring-petclinic,tomicroservices,3_partitions,overhead,method,X,55.56,25.0,50.0,75.0
