source_method,reference_decomposition,duplicate,notes
smpl.ordering.OrderingConfiguration.orderingServiceProperties(),shipment,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.repositoryFactory(),shipment,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.setApplicationContext(ApplicationContext context),shipment,TRUE,not in microservice
smpl.ordering.repositories.RepositoryFactory.getFactory(),shipment,TRUE,
smpl.ordering.repositories.RepositoryFactory.init(String storage),shipment,TRUE,
smpl.ordering.repositories.RepositoryFactory.RepositoryFactory(String storage),shipment,TRUE,
smpl.ordering.repositories.RepositoryFactory.reset(String storage),shipment,TRUE,
smpl.ordering.SimpleCORSFilter.destroy(),shipment,TRUE,
"smpl.ordering.SimpleCORSFilter.doFilter(ServletRequest req,ServletResponse res,FilterChain chain)",shipment,TRUE,
smpl.ordering.SimpleCORSFilter.init(FilterConfig filterConfig),shipment,TRUE,
smpl.ordering.TestPath.reset(),shipment,TRUE,
smpl.ordering.Utility.getTelemetryClient(),shipment,TRUE,not in microservice
smpl.ordering.Utility.isNullOrEmpty(String str),shipment,TRUE,
"smpl.ordering.Utility.validateStringField(String field,String fieldName,int count,StringBuilder errors)",shipment,TRUE,
"smpl.ordering.controllers.ShipmentController.addEvent(String id,ShipmentEventInfo event)",shipment,,
smpl.ordering.controllers.ShipmentController.createShipmentRecord(ShipmentRecord info),shipment,,
smpl.ordering.controllers.ShipmentController.deleteShipment(String orderId),shipment,,
smpl.ordering.controllers.ShipmentController.getDeliveries(),shipment,,not in microservice
smpl.ordering.controllers.ShipmentController.getOrderRepository(),shipment,,not in microservice
smpl.ordering.controllers.ShipmentController.getQuoteRepository(),shipment,,not in microservice
smpl.ordering.controllers.ShipmentController.getShipment(String id),shipment,,
smpl.ordering.controllers.ShipmentController.getShipmentRepository(),shipment,,not in microservice
smpl.ordering.controllers.ShipmentController.getShipments(OrderStatus status),shipment,,
"smpl.ordering.controllers.ShipmentController.updateShipment(String id,ShipmentRecord record)",shipment,,
smpl.ordering.models.Delivery.getOrder(),shipment,,not in microservice
smpl.ordering.models.Delivery.getQuote(),shipment,,not in microservice
smpl.ordering.models.Delivery.getShipmentRecord(),shipment,,not in microservice
smpl.ordering.models.Delivery.setOrder(Order order),shipment,,not in microservice
smpl.ordering.models.Delivery.setQuote(Quote quote),shipment,,not in microservice
smpl.ordering.models.Delivery.setShipmentRecord(ShipmentRecord shipmentRecord),shipment,,
smpl.ordering.models.DeliveryAddress.DeliveryAddress(),shipment,,
"smpl.ordering.models.DeliveryAddress.DeliveryAddress(String street,String city,String state,String postalCode,String specialInstructions)",shipment,,
smpl.ordering.models.DeliveryAddress.getCity(),shipment,,
smpl.ordering.models.DeliveryAddress.getPostalCode(),shipment,,
smpl.ordering.models.DeliveryAddress.getSpecialInstructions(),shipment,,
smpl.ordering.models.DeliveryAddress.getState(),shipment,,
smpl.ordering.models.DeliveryAddress.getStreet(),shipment,,
smpl.ordering.models.DeliveryAddress.isNotEmpty(String str),shipment,,
smpl.ordering.models.DeliveryAddress.setCity(String city),shipment,,
smpl.ordering.models.DeliveryAddress.setPostalCode(String postalCode),shipment,,
smpl.ordering.models.DeliveryAddress.setSpecialInstructions(String specialInstructions),shipment,,
smpl.ordering.models.DeliveryAddress.setState(String state),shipment,,
smpl.ordering.models.DeliveryAddress.setStreet(String street),shipment,,
smpl.ordering.models.DeliveryAddress.validate(),shipment,,
smpl.ordering.models.PhoneInfo.getKind(),shipment,,
smpl.ordering.models.PhoneInfo.getPhoneNumber(),shipment,,
smpl.ordering.models.PhoneInfo.PhoneInfo(),shipment,,
"smpl.ordering.models.PhoneInfo.PhoneInfo(String phoneNumber,String kind)",shipment,,
smpl.ordering.models.PhoneInfo.setKind(String kind),shipment,,
smpl.ordering.models.PhoneInfo.setPhoneNumber(String phoneNumber),shipment,,
smpl.ordering.models.ShipmentEventInfo.getComments(),shipment,,
smpl.ordering.models.ShipmentEventInfo.getDate(),shipment,,
smpl.ordering.models.ShipmentEventInfo.setComments(String comments),shipment,,
smpl.ordering.models.ShipmentEventInfo.setDate(String date),shipment,,
smpl.ordering.models.ShipmentEventInfo.ShipmentEventInfo(),shipment,,
"smpl.ordering.models.ShipmentEventInfo.ShipmentEventInfo(String date,String comments)",shipment,,
smpl.ordering.models.ShipmentEventInfo.validate(),shipment,,
smpl.ordering.models.ShipmentRecord.addEvent(ShipmentEventInfo event),shipment,,
"smpl.ordering.models.ShipmentRecord.addEvent(String date,String comments)",shipment,,
smpl.ordering.models.ShipmentRecord.getAlternateContactPhone(),shipment,,
smpl.ordering.models.ShipmentRecord.getContactName(),shipment,,
smpl.ordering.models.ShipmentRecord.getDeliveryAddress(),shipment,,
smpl.ordering.models.ShipmentRecord.getDeliveryDate(),shipment,,
smpl.ordering.models.ShipmentRecord.getEvents(),shipment,,
smpl.ordering.models.ShipmentRecord.getOrderId(),shipment,,
smpl.ordering.models.ShipmentRecord.getPrimaryContactPhone(),shipment,,
smpl.ordering.models.ShipmentRecord.setAlternateContactPhone(PhoneInfo alternateContactPhone),shipment,,
smpl.ordering.models.ShipmentRecord.setContactName(String contactName),shipment,,
smpl.ordering.models.ShipmentRecord.setDeliveryAddress(DeliveryAddress deliveryAddress),shipment,,
smpl.ordering.models.ShipmentRecord.setDeliveryDate(String deliveryDate),shipment,,
smpl.ordering.models.ShipmentRecord.setOrderId(String orderId),shipment,,
smpl.ordering.models.ShipmentRecord.setPrimaryContactPhone(PhoneInfo primaryContactPhone),shipment,,
smpl.ordering.models.ShipmentRecord.ShipmentRecord(),shipment,,
smpl.ordering.models.ShipmentRecord.ShipmentRecord(ShipmentRecord other),shipment,,
smpl.ordering.models.ShipmentRecord.validate(),shipment,,
"smpl.ordering.repositories.mock.MockShipmentRepository.addEvent(String id,ShipmentEventInfo event)",shipment,,
smpl.ordering.repositories.mock.MockShipmentRepository.createShipment(ShipmentRecord info),shipment,,
smpl.ordering.repositories.mock.MockShipmentRepository.getShipmentById(String id),shipment,,
smpl.ordering.repositories.mock.MockShipmentRepository.getShipments(OrderStatus status),shipment,,
smpl.ordering.repositories.mock.MockShipmentRepository.MockShipmentRepository(OrderRepository orders),shipment,,
"smpl.ordering.repositories.mock.MockShipmentRepository.removeShipment(String id,String eTag)",shipment,,
smpl.ordering.repositories.mock.MockShipmentRepository.reset(),shipment,,
smpl.ordering.repositories.mock.MockShipmentRepository.updateShipment(ShipmentRecord info),shipment,,
smpl.ordering.repositories.mongodb.models.ShipmentDetails.getId(),shipment,,
smpl.ordering.repositories.mongodb.models.ShipmentDetails.setId(String id),shipment,,
smpl.ordering.repositories.mongodb.models.ShipmentDetails.ShipmentDetails(),shipment,,
smpl.ordering.repositories.mongodb.models.ShipmentDetails.ShipmentDetails(ShipmentRecord from),shipment,,
smpl.ordering.repositories.mongodb.models.ShipmentDetails.toShipmentRecord(),shipment,,
"smpl.ordering.repositories.mongodb.MongoShipmentRepository.addEvent(String id,ShipmentEventInfo event)",shipment,,
smpl.ordering.repositories.mongodb.MongoShipmentRepository.createShipment(ShipmentRecord info),shipment,,
smpl.ordering.repositories.mongodb.MongoShipmentRepository.findExistingShipmentDetails(String id),shipment,,
smpl.ordering.repositories.mongodb.MongoShipmentRepository.getShipmentById(String id),shipment,,
smpl.ordering.repositories.mongodb.MongoShipmentRepository.getShipments(OrderStatus status),shipment,,
"smpl.ordering.repositories.mongodb.MongoShipmentRepository.MongoShipmentRepository(MongoTemplate template,OrderRepository orders)",shipment,,
"smpl.ordering.repositories.mongodb.MongoShipmentRepository.removeShipment(String id,String eTag)",shipment,,
smpl.ordering.repositories.mongodb.MongoShipmentRepository.reset(),shipment,,not in microservice
"smpl.ordering.repositories.mongodb.MongoShipmentRepository.saveUpdates(ShipmentDetails existing,ShipmentRecord result)",shipment,,
smpl.ordering.repositories.mongodb.MongoShipmentRepository.updateShipment(ShipmentRecord info),shipment,,
smpl.ordering.repositories.RepositoryFactory.getShipmentRepository(),shipment,,
"smpl.ordering.repositories.ShipmentRepository.addEvent(String id,ShipmentEventInfo event)",shipment,,
smpl.ordering.repositories.ShipmentRepository.createShipment(ShipmentRecord info),shipment,,
smpl.ordering.repositories.ShipmentRepository.getShipmentById(String id),shipment,,
smpl.ordering.repositories.ShipmentRepository.getShipments(OrderStatus status),shipment,,
"smpl.ordering.repositories.ShipmentRepository.removeShipment(String id,String eTag)",shipment,,
smpl.ordering.repositories.ShipmentRepository.updateShipment(ShipmentRecord info),shipment,,
smpl.ordering.AppInsightsFilter.destroy(),uncounted,,not in microservice
"smpl.ordering.AppInsightsFilter.doFilter(ServletRequest req,ServletResponse res,FilterChain chain)",uncounted,,not in microservice
smpl.ordering.AppInsightsFilter.init(FilterConfig filterConfig),uncounted,,not in microservice
smpl.ordering.controllers.PingController.getStatus(),uncounted,,not in microservice
smpl.ordering.controllers.PingController.ping(),uncounted,,not in microservice
smpl.ordering.MongoDBProperties.getDatabase(),uncounted,,not in microservice
smpl.ordering.MongoDBProperties.getHost(),uncounted,,not in microservice
smpl.ordering.MongoDBProperties.setDatabase(String database),uncounted,,not in microservice
smpl.ordering.MongoDBProperties.setHost(String host),uncounted,,not in microservice
smpl.ordering.OrderingInitializer.configure(SpringApplicationBuilder application),uncounted,,not in microservice
smpl.ordering.OrderingInitializer.getApplicationPath(),uncounted,,not in microservice
smpl.ordering.OrderingInitializer.onStartup(ServletContext servletContext),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.getInstrumentationKey(),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.getPingMessage(),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.getStorage(),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.getValidationMessage(),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.setInstrumentationKey(String instrumentationKey),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.setPingMessage(String message),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.setStorage(String storage),uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties.setValidationMessage(String validationMessage),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.getDriverClass(),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.getPassword(),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.getUrl(),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.getUsername(),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.setDriverClass(String driverClass),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.setPassword(String password),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.setUrl(String url),uncounted,,not in microservice
smpl.ordering.PostgresqlProperties.setUsername(String username),uncounted,,not in microservice
smpl.ordering.PropertyHelper.getProperties(),uncounted,,not in microservice
smpl.ordering.PropertyHelper.getPropValues(String propFileName),uncounted,,not in microservice
"smpl.ordering.repositories.mock.MockDealersRepository.compareDealerNames(String name,DealerInfo info)",uncounted,,not in microservice
smpl.ordering.repositories.mock.MockDealersRepository.getDealer(String name),uncounted,,not in microservice
smpl.ordering.repositories.mock.MockDealersRepository.getDealers(),uncounted,,not in microservice
smpl.ordering.repositories.mock.MockDealersRepository.MockDealersRepository(),uncounted,,not in microservice
"smpl.ordering.repositories.mock.MockDealersRepository.removeDealer(String name,String eTag)",uncounted,,not in microservice
smpl.ordering.repositories.mock.MockDealersRepository.reset(),uncounted,,not in microservice
"smpl.ordering.repositories.mock.MockDealersRepository.upsertDealer(DealerInfo dealer,String eTag)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.models.Dealer.Dealer(),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.models.Dealer.Dealer(DealerInfo from),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.models.Dealer.getId(),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.models.Dealer.setId(String id),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.models.Dealer.toDealerInfo(),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.aggregate(Aggregation aggregation,Class<?> inputType,Class<O> outputType)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.aggregate(Aggregation aggregation,String collectionName,Class<O> outputType)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.aggregate(TypedAggregation<?> aggregation,Class<O> outputType)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.aggregate(TypedAggregation<?> aggregation,String collectionName,Class<O> outputType)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.collectionExists(Class<T> entityClass),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.collectionExists(String collectionName),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.count(Query query,Class<?> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.count(Query query,String collectionName)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.createCollection(Class<T> entityClass),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.createCollection(Class<T> entityClass,CollectionOptions collectionOptions)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.createCollection(String collectionName),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.createCollection(String collectionName,CollectionOptions collectionOptions)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.dropCollection(Class<T> entityClass),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.dropCollection(String collectionName),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.execute(Class<?> entityClass,CollectionCallback<T> action)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.execute(DbCallback<T> action),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.execute(String collectionName,CollectionCallback<T> action)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.executeCommand(DBObject command),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.executeCommand(DBObject command,int options)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.executeCommand(String jsonCommand),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.executeInSession(DbCallback<T> action),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.executeQuery(Query query,String collectionName,DocumentCallbackHandler dch)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.exists(Query query,Class<?> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.exists(Query query,Class<?> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.exists(Query query,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.find(Query query,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.find(Query query,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAll(Class<T> entityClass),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAll(Class<T> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAllAndRemove(Query query,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAllAndRemove(Query query,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAllAndRemove(Query query,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAndModify(Query query,Update update,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAndModify(Query query,Update update,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAndModify(Query query,Update update,FindAndModifyOptions options,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAndModify(Query query,Update update,FindAndModifyOptions options,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAndRemove(Query query,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findAndRemove(Query query,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findById(Object id,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findById(Object id,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findOne(Query query,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.findOne(Query query,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.geoNear(NearQuery near,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.geoNear(NearQuery near,Class<T> entityClass,String collectionName)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.getCollection(String collectionName),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.getCollectionName(Class<?> entityClass),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.getCollectionNames(),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.getConverter(),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.group(Criteria criteria,String inputCollectionName,GroupBy groupBy,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.group(String inputCollectionName,GroupBy groupBy,Class<T> entityClass)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.indexOps(Class<?> entityClass),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.indexOps(String collectionName),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.insert(Collection<? extends Object> batchToSave,Class<?> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.insert(Collection<? extends Object> batchToSave,String collectionName)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.insert(Object objectToSave),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.insert(Object objectToSave,String collectionName)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.insertAll(Collection<? extends Object> objectsToSave),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.mapReduce(Query query,String inputCollectionName,String mapFunction,String reduceFunction,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.mapReduce(Query query,String inputCollectionName,String mapFunction,String reduceFunction,MapReduceOptions mapReduceOptions,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.mapReduce(String inputCollectionName,String mapFunction,String reduceFunction,Class<T> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.mapReduce(String inputCollectionName,String mapFunction,String reduceFunction,MapReduceOptions mapReduceOptions,Class<T> entityClass)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.MongoOperationsWithRetry(MongoOperations underlying),uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.remove(Object object),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.remove(Object object,String collection)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.remove(Query query,Class<?> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.remove(Query query,Class<?> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.remove(Query query,String collectionName)",uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.save(Object objectToSave),uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.save(Object objectToSave,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.sendTelemetry(Date start,Date end,String operation,boolean success)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.updateFirst(Query query,Update update,Class<?> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.updateFirst(Query query,Update update,Class<?> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.updateFirst(Query query,Update update,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.updateMulti(Query query,Update update,Class<?> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.updateMulti(Query query,Update update,Class<?> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.updateMulti(Query query,Update update,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.upsert(Query query,Update update,Class<?> entityClass)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.upsert(Query query,Update update,Class<?> entityClass,String collectionName)",uncounted,,not in microservice
"smpl.ordering.repositories.mongodb.MongoOperationsWithRetry.upsert(Query query,Update update,String collectionName)",uncounted,,not in microservice
